iter	Passed	Remaining
407	5986	8685
408	6002	8672
409	6015	8657
410	6032	8644
411	6045	8628
412	6059	8612
413	6074	8597
414	6089	8583
415	6103	8568
416	6117	8553
417	6133	8540
418	6147	8524
419	6159	8506
420	6172	8489
421	6186	8474
422	6202	8461
423	6217	8446
424	6230	8429
425	6246	8416
426	6258	8398
427	6274	8385
428	6290	8372
429	6306	8360
430	6320	8344
431	6332	8326
432	6349	8314
433	6364	8299
434	6378	8285
435	6395	8272
436	6407	8255
437	6423	8242
438	6437	8225
439	6450	8209
440	6463	8193
441	6476	8176
442	6491	8161
443	6504	8145
444	6521	8133
445	6538	8121
446	6551	8104
447	6564	8088
448	6581	8076
449	6594	8060
450	6610	8047
451	6626	8034
452	6638	8016
453	6652	8000
454	6666	7985
455	6682	7972
456	6696	7956
457	6711	7942
458	6725	7927
459	6740	7913
460	6753	7896
461	6769	7883
462	6783	7867
463	6798	7853
464	6811	7836
465	6823	7819
466	6835	7801
467	6850	7787
468	6866	7773
469	6881	7760
470	6896	7746
471	6911	7731
472	6927	7717
473	6942	7703
474	6957	7689
475	6973	7677
476	6986	7659
477	6999	7643
478	7011	7626
479	7024	7610
480	7039	7595
481	7051	7578
482	7067	7565
483	7081	7550
484	7095	7534
485	7112	7522
486	7127	7507
487	7142	7493
488	7158	7480
489	7173	7466
490	7189	7452
491	7203	7438
492	7218	7423
493	7231	7406
494	7247	7394
495	7262	7379
496	7278	7365
497	7293	7352
498	7307	7336
499	7319	7319
500	7336	7306
501	7350	7292
502	7365	7277
503	7381	7263
504	7393	7246
505	7408	7232
506	7421	7217
507	7436	7202
508	7450	7187
509	7464	7171
510	7477	7155
511	7492	7141
512	7508	7128
513	7524	7114
514	7537	7098
515	7551	7083
516	7566	7068
517	7579	7052
518	7595	7039
519	7608	7023
520	7620	7006
521	7634	6990
522	7651	6978
523	7666	6963
524	7680	6948
525	7695	6935
526	7710	6920
527	7728	6908
528	7744	6895
529	7760	6881
530	7773	6865
531	7788	6851
532	7802	6836
533	7818	6822
534	7832	6807
535	7846	6792
536	7859	6776
537	7875	6762
538	7889	6747
539	7903	6732
540	7919	6718
541	7933	6704
542	7948	6689
543	7963	6675
544	7975	6658
545	7990	6644
546	8002	6627
547	8015	6611
548	8029	6596
549	8045	6582
550	8061	6569
551	8076	6554
552	8090	6539
553	8106	6525
554	8121	6511
555	8134	6496
556	8149	6481
557	8163	6466
558	8177	6451
559	8189	6434
560	8202	6418
561	8215	6402
562	8232	6389
563	8245	6374
564	8260	6359
565	8274	6344
566	8288	6329
567	8302	6314
568	8316	6299
569	8332	6285
570	8344	6269
571	8358	6254
572	8375	6241
573	8388	6225
574	8401	6209
575	8414	6193
576	8430	6180
577	8445	6166
578	8460	6151
579	8475	6137
580	8489	6122
581	8506	6109
582	8518	6092
583	8534	6079
584	8549	6065
585	8564	6050
586	8579	6035
587	8594	6022
588	8610	6008
589	8626	5994
590	8641	5980
591	8655	5965
592	8671	5951
593	8684	5935
594	8698	5920
595	8714	5907
596	8729	5893
597	8745	5879
598	8758	5863
599	8770	5846
600	8783	5831
601	8797	5816
602	8811	5801
603	8827	5787
604	8843	5773
605	8857	5758
606	8872	5744
607	8887	5730
608	8901	5714
609	8916	5700
610	8932	5686
611	8944	5670
612	8958	5655
613	8970	5639
614	8984	5624
615	8997	5608
616	9010	5593
617	9024	5577
618	9040	5564
619	9055	5550
620	9072	5537
621	9087	5522
622	9102	5508
623	9115	5492
624	9130	5478
625	9144	5463
626	9158	5448
627	9172	5433
628	9187	5419
629	9200	5403
630	9213	5388
631	9229	5373
632	9242	5358
633	9255	5343
634	9267	5327
635	9280	5311
636	9294	5296
637	9306	5280
638	9319	5264
639	9332	5249
640	9348	5236
641	9364	5221
642	9378	5207
643	9393	5192
644	9405	5176
645	9417	5160
646	9431	5146
647	9446	5131
648	9459	5115
649	9474	5101
650	9488	5086
651	9504	5073
652	9521	5059
653	9535	5044
654	9551	5030
655	9565	5015
656	9579	5001
657	9595	4987
658	9609	4972
659	9625	4958
660	9638	4943
661	9654	4929
662	9666	4913
663	9681	4899
664	9692	4882
665	9706	4867
666	9722	4853
667	9736	4839
668	9752	4825
669	9767	4810
670	9779	4795
671	9795	4781
672	9809	4766
673	9823	4751
674	9837	4736
675	9851	4721
676	9864	4706
677	9877	4691
678	9890	4675
679	9905	4661
680	9917	4645
681	9931	4630
682	9945	4616
683	9960	4601
684	9975	4587
685	9989	4572
686	10003	4557
687	10015	4541
688	10032	4528
689	10045	4513
690	10059	4498
691	10074	4484
692	10090	4470
693	10105	4455
694	10120	4441
695	10135	4426
696	10146	4411
697	10159	4395
698	10172	4380
699	10186	4365
700	10200	4350
701	10213	4335
702	10230	4322
703	10246	4307
704	10260	4293
705	10273	4278
706	10286	4263
707	10302	4248
708	10317	4234
709	10331	4219
710	10346	4205
711	10360	4190
712	10374	4175
713	10387	4160
714	10402	4146
715	10416	4131
716	10430	4116
717	10447	4103
718	10460	4088
719	10474	4073
720	10487	4058
721	10503	4044
722	10517	4029
723	10533	4015
724	10546	4000
725	10561	3985
726	10574	3971
727	10588	3956
728	10603	3941
729	10615	3926
730	10628	3911
731	10642	3896
732	10654	3881
733	10667	3865
734	10682	3851
735	10696	3836
736	10708	3821
737	10722	3806
738	10736	3792
739	10750	3777
740	10763	3762
741	10775	3746
742	10791	3732
743	10805	3717
744	10820	3703
745	10833	3688
746	10847	3673
747	10862	3659
748	10876	3644
749	10892	3630
750	10909	3617
751	10925	3603
752	10942	3589
753	10955	3574
754	10970	3559
755	10983	3545
756	10997	3530
757	11011	3515
758	11025	3500
759	11040	3486
760	11055	3472
761	11071	3458
762	11086	3443
763	11103	3429
764	11117	3415
765	11131	3400
766	11147	3386
767	11161	3371
768	11174	3356
769	11188	3341
770	11203	3327
771	11219	3313
